algorithm_name,env_n,size,best_solution,H,states,time
Genetic Algorithm,34,8,"[7, 3, 0, 2, 5, 1, 6, 4]",0,3618,0.7506
Random,35,8,"[3, 4, 1, 6, 7, 2, 1, 1]",5,3000,0.0182
Hill Climbing,35,8,"[3, 4, 1, 6, 7, 2, 1, 1]",0,604,0.0944
Simulated Annealing,35,8,"[3, 4, 1, 6, 7, 2, 1, 1]",0,949,0.0083
Genetic Algorithm,35,8,"[3, 1, 6, 4, 0, 7, 5, 2]",0,3015,0.6176
Random,36,8,"[4, 5, 0, 7, 3, 0, 2, 1]",5,3000,0.0181
Hill Climbing,36,8,"[4, 5, 0, 7, 3, 0, 2, 1]",0,1004,0.1662
Simulated Annealing,36,8,"[4, 5, 0, 7, 3, 0, 2, 1]",0,731,0.0068
Genetic Algorithm,36,8,"[6, 3, 1, 7, 5, 0, 2, 4]",0,3618,0.75
Random,37,8,"[1, 7, 4, 0, 0, 2, 7, 5]",4,3000,0.018
Hill Climbing,37,8,"[1, 7, 4, 0, 0, 2, 7, 5]",0,704,0.1116
Simulated Annealing,37,8,"[1, 7, 4, 0, 0, 2, 7, 5]",0,734,0.007
Genetic Algorithm,37,8,"[2, 4, 1, 7, 0, 6, 3, 5]",0,2010,0.3986
Random,38,8,"[5, 2, 6, 0, 1, 1, 5, 0]",8,3000,0.0179
Hill Climbing,38,8,"[5, 2, 6, 0, 1, 1, 5, 0]",0,303,0.0417
Simulated Annealing,38,8,"[5, 2, 6, 0, 1, 1, 5, 0]",1,1147,0.0097
Genetic Algorithm,38,8,"[1, 6, 2, 5, 7, 4, 0, 3]",0,3618,0.748
Random,39,8,"[3, 5, 6, 2, 3, 0, 1, 2]",10,3000,0.0181
Hill Climbing,39,8,"[3, 5, 6, 2, 3, 0, 1, 2]",0,509,0.0769
Simulated Annealing,39,8,"[3, 5, 6, 2, 3, 0, 1, 2]",0,692,0.0067
Genetic Algorithm,39,8,"[0, 5, 7, 2, 6, 3, 1, 4]",0,3417,0.707
Random,40,8,"[7, 5, 4, 2, 2, 0, 5, 7]",7,3000,0.0178
Hill Climbing,40,8,"[7, 5, 4, 2, 2, 0, 5, 7]",0,2605,0.457
Simulated Annealing,40,8,"[7, 5, 4, 2, 2, 0, 5, 7]",1,1147,0.0095
Genetic Algorithm,40,8,"[2, 6, 1, 7, 4, 0, 3, 5]",0,804,0.1358
Random,41,8,"[0, 6, 7, 0, 3, 7, 7, 4]",6,3000,0.0182
Hill Climbing,41,8,"[0, 6, 7, 0, 3, 7, 7, 4]",0,106,0.006
Simulated Annealing,41,8,"[0, 6, 7, 0, 3, 7, 7, 4]",0,858,0.0076
Genetic Algorithm,41,8,"[0, 6, 4, 7, 1, 3, 5, 2]",0,46632,10.2544
Random,42,8,"[7, 7, 7, 3, 2, 7, 2, 1]",7,3000,0.018
Hill Climbing,42,8,"[7, 7, 7, 3, 2, 7, 2, 1]",0,106,0.0058
Simulated Annealing,42,8,"[7, 7, 7, 3, 2, 7, 2, 1]",1,1147,0.0095
Genetic Algorithm,42,8,"[6, 3, 1, 7, 5, 0, 2, 4]",0,3216,0.6611
Random,43,8,"[7, 4, 5, 2, 6, 0, 5, 7]",12,3000,0.0181
Hill Climbing,43,8,"[7, 4, 5, 2, 6, 0, 5, 7]",0,1506,0.255
Simulated Annealing,43,8,"[7, 4, 5, 2, 6, 0, 5, 7]",0,636,0.0063
Genetic Algorithm,43,8,"[4, 1, 7, 0, 3, 6, 2, 5]",0,2211,0.448
