algorithm_name,env_n,size,best_solution,H,states,time
Simulated Annealing,14,4,"[2, 2, 1, 1]",1,45,0.0002
Genetic Algorithm,14,4,"[1, 3, 0, 2]",0,1,0.0054
Random,15,4,"[0, 1, 2, 2]",0,254,0.0008
Hill Climbing,15,4,"[0, 1, 2, 2]",0,6,0.0001
Simulated Annealing,15,4,"[0, 1, 2, 2]",1,45,0.0002
Genetic Algorithm,15,4,"[2, 0, 3, 1]",0,1,0.0052
Random,16,4,"[1, 0, 0, 1]",0,179,0.0006
Hill Climbing,16,4,"[1, 0, 0, 1]",0,5,0.0
Simulated Annealing,16,4,"[1, 0, 0, 1]",4,45,0.0002
Genetic Algorithm,16,4,"[2, 0, 3, 1]",0,1,0.0052
Random,17,4,"[2, 3, 3, 2]",0,81,0.0003
Hill Climbing,17,4,"[2, 3, 3, 2]",0,4,0.0
Simulated Annealing,17,4,"[2, 3, 3, 2]",0,18,0.0001
Genetic Algorithm,17,4,"[1, 3, 0, 2]",0,1,0.0052
Random,18,4,"[3, 2, 2, 2]",0,65,0.0002
Hill Climbing,18,4,"[3, 2, 2, 2]",0,5,0.0
Simulated Annealing,18,4,"[3, 2, 2, 2]",0,26,0.0001
Genetic Algorithm,18,4,"[2, 0, 3, 1]",0,2,0.01
Random,19,4,"[1, 0, 3, 2]",0,309,0.001
Hill Climbing,19,4,"[1, 0, 3, 2]",0,7,0.0001
Simulated Annealing,19,4,"[1, 0, 3, 2]",3,45,0.0002
Genetic Algorithm,19,4,"[2, 0, 3, 1]",0,2,0.0099
Random,20,4,"[0, 0, 1, 3]",0,32,0.0001
Hill Climbing,20,4,"[0, 0, 1, 3]",1,10000,0.0879
Simulated Annealing,20,4,"[0, 0, 1, 3]",1,45,0.0002
Genetic Algorithm,20,4,"[1, 3, 0, 2]",0,1,0.0053
Random,21,4,"[1, 2, 0, 2]",0,292,0.0009
Hill Climbing,21,4,"[1, 2, 0, 2]",0,2,0.0
Simulated Annealing,21,4,"[1, 2, 0, 2]",0,22,0.0001
Genetic Algorithm,21,4,"[2, 0, 3, 1]",0,1,0.0052
Random,22,4,"[1, 3, 3, 2]",0,81,0.0003
Hill Climbing,22,4,"[1, 3, 3, 2]",0,2,0.0
Simulated Annealing,22,4,"[1, 3, 3, 2]",3,45,0.0002
Genetic Algorithm,22,4,"[2, 0, 3, 1]",0,2,0.0099
Random,23,4,"[1, 1, 0, 3]",0,57,0.0002
Hill Climbing,23,4,"[1, 1, 0, 3]",1,10000,0.0875
Simulated Annealing,23,4,"[1, 1, 0, 3]",1,45,0.0002
Genetic Algorithm,23,4,"[2, 0, 3, 1]",0,1,0.0053
Random,24,4,"[2, 0, 0, 2]",0,154,0.0005
Hill Climbing,24,4,"[2, 0, 0, 2]",0,5,0.0
Simulated Annealing,24,4,"[2, 0, 0, 2]",3,45,0.0002
Genetic Algorithm,24,4,"[2, 0, 3, 1]",0,1,0.0052
Random,25,4,"[3, 1, 1, 1]",0,236,0.0008
Hill Climbing,25,4,"[3, 1, 1, 1]",0,5,0.0
Simulated Annealing,25,4,"[3, 1, 1, 1]",0,26,0.0001
Genetic Algorithm,25,4,"[2, 0, 3, 1]",0,3,0.015
Random,26,4,"[3, 0, 1, 2]",0,677,0.0021
Hill Climbing,26,4,"[3, 0, 1, 2]",0,5,0.0
Simulated Annealing,26,4,"[3, 0, 1, 2]",2,45,0.0002
Genetic Algorithm,26,4,"[1, 3, 0, 2]",0,1,0.0052
Random,27,4,"[1, 1, 3, 0]",0,29,0.0001
Hill Climbing,27,4,"[1, 1, 3, 0]",1,10000,0.0874
Simulated Annealing,27,4,"[1, 1, 3, 0]",3,45,0.0002
Genetic Algorithm,27,4,"[1, 3, 0, 2]",0,1,0.0053
Random,28,4,"[3, 2, 2, 1]",0,238,0.0008
Hill Climbing,28,4,"[3, 2, 2, 1]",0,4,0.0
Simulated Annealing,28,4,"[3, 2, 2, 1]",2,45,0.0002
Genetic Algorithm,28,4,"[2, 0, 3, 1]",0,1,0.0052
Random,29,4,"[0, 1, 1, 1]",0,52,0.0002
Hill Climbing,29,4,"[0, 1, 1, 1]",0,5,0.0
Simulated Annealing,29,4,"[0, 1, 1, 1]",2,45,0.0002
Genetic Algorithm,29,4,"[2, 0, 3, 1]",0,1,0.0053
Random,30,4,"[0, 2, 2, 0]",0,41,0.0001
Hill Climbing,30,4,"[0, 2, 2, 0]",2,10000,0.089
Simulated Annealing,30,4,"[0, 2, 2, 0]",4,45,0.0002
Genetic Algorithm,30,4,"[2, 0, 3, 1]",0,2,0.0102
Random,31,8,"[6, 6, 0, 4, 7, 6, 4, 7]",12,10000,0.0602
Hill Climbing,31,8,"[6, 6, 0, 4, 7, 6, 4, 7]",2,10000,0.4786
Simulated Annealing,31,8,"[6, 6, 0, 4, 7, 6, 4, 7]",4,45,0.0005
Genetic Algorithm,31,8,"[5, 0, 4, 1, 7, 2, 6, 3]",0,57,0.5822
Random,32,8,"[2, 1, 4, 1, 7, 7, 7, 6]",5,10000,0.0604
Hill Climbing,32,8,"[2, 1, 4, 1, 7, 7, 7, 6]",1,10000,0.4737
Simulated Annealing,32,8,"[2, 1, 4, 1, 7, 7, 7, 6]",2,45,0.0005
Genetic Algorithm,32,8,"[5, 2, 0, 6, 4, 7, 1, 3]",0,357,3.6538
Random,33,8,"[0, 1, 1, 5, 2, 4, 4, 3]",6,10000,0.0606
Hill Climbing,33,8,"[0, 1, 1, 5, 2, 4, 4, 3]",2,10000,0.477
Simulated Annealing,33,8,"[0, 1, 1, 5, 2, 4, 4, 3]",4,45,0.0005
Genetic Algorithm,33,8,"[4, 1, 5, 0, 6, 3, 7, 2]",0,28,0.2838
Random,34,8,"[3, 2, 5, 7, 1, 0, 7, 4]",8,10000,0.0607
Hill Climbing,34,8,"[3, 2, 5, 7, 1, 0, 7, 4]",1,10000,0.4718
Simulated Annealing,34,8,"[3, 2, 5, 7, 1, 0, 7, 4]",9,45,0.0005
Genetic Algorithm,34,8,"[5, 2, 6, 3, 0, 7, 1, 4]",0,2496,25.6406
Random,35,8,"[3, 4, 1, 6, 7, 2, 1, 1]",10,10000,0.0605
Hill Climbing,35,8,"[3, 4, 1, 6, 7, 2, 1, 1]",1,10000,0.506
Simulated Annealing,35,8,"[3, 4, 1, 6, 7, 2, 1, 1]",3,45,0.0005
Genetic Algorithm,35,8,"[3, 6, 0, 7, 4, 1, 5, 2]",0,131,1.3375
Random,36,8,"[4, 5, 0, 7, 3, 0, 2, 1]",8,10000,0.0605
Hill Climbing,36,8,"[4, 5, 0, 7, 3, 0, 2, 1]",2,10000,0.479
Simulated Annealing,36,8,"[4, 5, 0, 7, 3, 0, 2, 1]",8,45,0.0005
Genetic Algorithm,36,8,"[3, 5, 7, 1, 6, 0, 2, 4]",0,4741,49.3021
Random,37,8,"[1, 7, 4, 0, 0, 2, 7, 5]",13,10000,0.0603
Hill Climbing,37,8,"[1, 7, 4, 0, 0, 2, 7, 5]",2,10000,0.4776
Simulated Annealing,37,8,"[1, 7, 4, 0, 0, 2, 7, 5]",6,45,0.0005
Genetic Algorithm,37,8,"[6, 0, 5, 1, 4, 7, 7, 2]",1,10000,103.4182
Random,38,8,"[5, 2, 6, 0, 1, 1, 5, 0]",8,10000,0.0607
Hill Climbing,38,8,"[5, 2, 6, 0, 1, 1, 5, 0]",2,10000,0.4765
Simulated Annealing,38,8,"[5, 2, 6, 0, 1, 1, 5, 0]",7,45,0.0005
Genetic Algorithm,38,8,"[2, 5, 3, 1, 7, 4, 6, 0]",0,472,4.8871
Random,39,8,"[3, 5, 6, 2, 3, 0, 1, 2]",7,10000,0.0604
Hill Climbing,39,8,"[3, 5, 6, 2, 3, 0, 1, 2]",1,10000,0.4784
Simulated Annealing,39,8,"[3, 5, 6, 2, 3, 0, 1, 2]",7,45,0.0005
Genetic Algorithm,39,8,"[6, 4, 1, 5, 0, 2, 7, 2]",1,10000,102.745
Random,40,8,"[7, 5, 4, 2, 2, 0, 5, 7]",12,10000,0.0604
Hill Climbing,40,8,"[7, 5, 4, 2, 2, 0, 5, 7]",1,10000,0.4731
Simulated Annealing,40,8,"[7, 5, 4, 2, 2, 0, 5, 7]",7,45,0.0005
Genetic Algorithm,40,8,"[2, 5, 1, 4, 7, 0, 6, 3]",0,933,9.5923
Random,41,8,"[0, 6, 7, 0, 3, 7, 7, 4]",8,10000,0.0605
Hill Climbing,41,8,"[0, 6, 7, 0, 3, 7, 7, 4]",2,10000,0.4799
Simulated Annealing,41,8,"[0, 6, 7, 0, 3, 7, 7, 4]",4,45,0.0005
Genetic Algorithm,41,8,"[6, 3, 1, 4, 7, 0, 2, 5]",0,25,0.2549
Random,42,8,"[7, 7, 7, 3, 2, 7, 2, 1]",10,10000,0.0608
Hill Climbing,42,8,"[7, 7, 7, 3, 2, 7, 2, 1]",2,10000,0.4694
Simulated Annealing,42,8,"[7, 7, 7, 3, 2, 7, 2, 1]",6,45,0.0005
Genetic Algorithm,42,8,"[5, 7, 0, 3, 6, 4, 1, 4]",1,10000,103.2979
Random,43,8,"[7, 4, 5, 2, 6, 0, 5, 7]",7,10000,0.0603
Hill Climbing,43,8,"[7, 4, 5, 2, 6, 0, 5, 7]",2,10000,0.4712
Simulated Annealing,43,8,"[7, 4, 5, 2, 6, 0, 5, 7]",7,45,0.0005
Genetic Algorithm,43,8,"[6, 0, 5, 1, 4, 7, 7, 2]",1,10000,103.2942
Random,44,8,"[4, 4, 2, 3, 2, 3, 2, 2]",7,10000,0.0604
Hill Climbing,44,8,"[4, 4, 2, 3, 2, 3, 2, 2]",1,10000,0.473
Simulated Annealing,44,8,"[4, 4, 2, 3, 2, 3, 2, 2]",8,45,0.0005
Genetic Algorithm,44,8,"[4, 6, 0, 2, 7, 5, 3, 1]",0,6771,70.4222
Random,45,8,"[1, 3, 4, 4, 4, 1, 7, 4]",6,10000,0.0604
Hill Climbing,45,8,"[1, 3, 4, 4, 4, 1, 7, 4]",2,10000,0.4724
Simulated Annealing,45,8,"[1, 3, 4, 4, 4, 1, 7, 4]",6,45,0.0005
Genetic Algorithm,45,8,"[6, 4, 2, 0, 5, 7, 1, 3]",0,9,0.0915
Random,46,8,"[3, 0, 0, 2, 3, 0, 0, 2]",9,10000,0.0605
Hill Climbing,46,8,"[3, 0, 0, 2, 3, 0, 0, 2]",2,10000,0.4727
Simulated Annealing,46,8,"[3, 0, 0, 2, 3, 0, 0, 2]",7,45,0.0005
Genetic Algorithm,46,8,"[4, 7, 3, 0, 6, 1, 5, 2]",0,4816,49.4478
Random,47,8,"[5, 7, 7, 4, 6, 3, 7, 0]",0,5360,0.0326
Hill Climbing,47,8,"[5, 7, 7, 4, 6, 3, 7, 0]",1,10000,0.4751
Simulated Annealing,47,8,"[5, 7, 7, 4, 6, 3, 7, 0]",6,45,0.0005
Genetic Algorithm,47,8,"[5, 3, 0, 6, 4, 1, 7, 0]",1,10000,103.2271
Random,48,8,"[6, 4, 5, 4, 2, 4, 1, 0]",15,10000,0.0606
Hill Climbing,48,8,"[6, 4, 5, 4, 2, 4, 1, 0]",1,10000,0.4738
Simulated Annealing,48,8,"[6, 4, 5, 4, 2, 4, 1, 0]",5,45,0.0005
Genetic Algorithm,48,8,"[4, 1, 5, 0, 6, 3, 7, 2]",0,1575,16.4109
Random,49,8,"[2, 1, 7, 5, 3, 3, 7, 7]",11,10000,0.0607
Hill Climbing,49,8,"[2, 1, 7, 5, 3, 3, 7, 7]",2,10000,0.4786
Simulated Annealing,49,8,"[2, 1, 7, 5, 3, 3, 7, 7]",9,45,0.0005
Genetic Algorithm,49,8,"[5, 2, 6, 1, 7, 4, 0, 3]",0,5,0.0509
Random,50,8,"[0, 1, 3, 6, 5, 4, 2, 4]",9,10000,0.0604
Hill Climbing,50,8,"[0, 1, 3, 6, 5, 4, 2, 4]",2,10000,0.4698
Simulated Annealing,50,8,"[0, 1, 3, 6, 5, 4, 2, 4]",6,45,0.0005
Genetic Algorithm,50,8,"[5, 3, 5, 0, 4, 1, 7, 2]",1,10000,103.3782
Random,51,8,"[2, 4, 1, 5, 2, 0, 6, 6]",8,10000,0.0608
Hill Climbing,51,8,"[2, 4, 1, 5, 2, 0, 6, 6]",2,10000,0.4767
Simulated Annealing,51,8,"[2, 4, 1, 5, 2, 0, 6, 6]",3,45,0.0005
Genetic Algorithm,51,8,"[3, 5, 7, 2, 0, 6, 4, 1]",0,753,7.7366
Random,52,8,"[2, 6, 6, 4, 7, 3, 7, 2]",7,10000,0.0608
Hill Climbing,52,8,"[2, 6, 6, 4, 7, 3, 7, 2]",1,10000,0.4741
Simulated Annealing,52,8,"[2, 6, 6, 4, 7, 3, 7, 2]",7,45,0.0005
Genetic Algorithm,52,8,"[7, 1, 4, 6, 3, 0, 2, 5]",1,10000,103.9377
Random,53,8,"[2, 3, 0, 7, 2, 1, 5, 1]",6,10000,0.0606
Hill Climbing,53,8,"[2, 3, 0, 7, 2, 1, 5, 1]",2,10000,0.4717
Simulated Annealing,53,8,"[2, 3, 0, 7, 2, 1, 5, 1]",7,45,0.0005
Genetic Algorithm,53,8,"[5, 0, 2, 4, 2, 7, 3, 1]",1,10000,103.2325
Random,54,8,"[4, 1, 0, 4, 6, 6, 5, 2]",0,239,0.0015
Hill Climbing,54,8,"[4, 1, 0, 4, 6, 6, 5, 2]",0,4,0.0002
Simulated Annealing,54,8,"[4, 1, 0, 4, 6, 6, 5, 2]",6,45,0.0005
Genetic Algorithm,54,8,"[5, 0, 4, 1, 7, 2, 6, 3]",0,214,2.1845
Random,55,8,"[6, 2, 3, 2, 3, 2, 1, 2]",5,10000,0.0606
Hill Climbing,55,8,"[6, 2, 3, 2, 3, 2, 1, 2]",2,10000,0.4757
Simulated Annealing,55,8,"[6, 2, 3, 2, 3, 2, 1, 2]",6,45,0.0005
Genetic Algorithm,55,8,"[1, 3, 5, 7, 2, 0, 6, 4]",0,7,0.0708
Random,56,8,"[6, 0, 3, 4, 7, 0, 4, 0]",4,10000,0.0604
Hill Climbing,56,8,"[6, 0, 3, 4, 7, 0, 4, 0]",2,10000,0.4717
Simulated Annealing,56,8,"[6, 0, 3, 4, 7, 0, 4, 0]",3,45,0.0005
Genetic Algorithm,56,8,"[7, 4, 2, 0, 6, 3, 5, 1]",1,10000,103.9958
Random,57,8,"[3, 3, 6, 0, 2, 7, 0, 2]",5,10000,0.0604
Hill Climbing,57,8,"[3, 3, 6, 0, 2, 7, 0, 2]",1,10000,0.4764
Simulated Annealing,57,8,"[3, 3, 6, 0, 2, 7, 0, 2]",6,45,0.0005
Genetic Algorithm,57,8,"[2, 5, 7, 0, 3, 6, 4, 1]",0,470,4.8203
Random,58,8,"[7, 4, 4, 3, 1, 1, 4, 5]",9,10000,0.0603
Hill Climbing,58,8,"[7, 4, 4, 3, 1, 1, 4, 5]",2,10000,0.4748
Simulated Annealing,58,8,"[7, 4, 4, 3, 1, 1, 4, 5]",6,45,0.0005
Genetic Algorithm,58,8,"[2, 4, 7, 3, 0, 6, 1, 5]",0,5,0.0507
Random,59,8,"[1, 2, 2, 3, 2, 7, 6, 3]",4,10000,0.0605
Hill Climbing,59,8,"[1, 2, 2, 3, 2, 7, 6, 3]",0,6,0.0003
Simulated Annealing,59,8,"[1, 2, 2, 3, 2, 7, 6, 3]",6,45,0.0005
Genetic Algorithm,59,8,"[6, 4, 3, 7, 0, 2, 5, 1]",1,10000,104.3968
Random,60,8,"[1, 5, 4, 1, 5, 6, 6, 0]",11,10000,0.0605
Hill Climbing,60,8,"[1, 5, 4, 1, 5, 6, 6, 0]",1,10000,0.4758
Simulated Annealing,60,8,"[1, 5, 4, 1, 5, 6, 6, 0]",6,45,0.0005
Genetic Algorithm,60,8,"[1, 7, 5, 0, 2, 4, 6, 3]",0,62,0.629
Random,61,10,"[6, 6, 0, 4, 8, 7, 6, 4, 7, 5]",9,10000,0.085
Hill Climbing,61,10,"[6, 6, 0, 4, 8, 7, 6, 4, 7, 5]",3,10000,0.8533
Simulated Annealing,61,10,"[6, 6, 0, 4, 8, 7, 6, 4, 7, 5]",6,45,0.0007
Genetic Algorithm,61,10,"[0, 6, 4, 2, 7, 9, 3, 8, 4, 1]",1,10000,144.2679
Random,62,10,"[2, 9, 1, 4, 1, 7, 7, 7, 6, 3]",7,10000,0.0843
Hill Climbing,62,10,"[2, 9, 1, 4, 1, 7, 7, 7, 6, 3]",1,10000,0.871
Simulated Annealing,62,10,"[2, 9, 1, 4, 1, 7, 7, 7, 6, 3]",9,45,0.0007
Genetic Algorithm,62,10,"[1, 1, 8, 5, 3, 9, 0, 2, 4, 6]",1,10000,143.5578
Random,63,10,"[0, 1, 1, 5, 2, 4, 4, 9, 3, 9]",9,10000,0.0843
Hill Climbing,63,10,"[0, 1, 1, 5, 2, 4, 4, 9, 3, 9]",2,10000,0.8617
Simulated Annealing,63,10,"[0, 1, 1, 5, 2, 4, 4, 9, 3, 9]",6,45,0.0007
Genetic Algorithm,63,10,"[6, 0, 3, 8, 8, 2, 4, 9, 1, 5]",1,10000,143.5953
Random,64,10,"[3, 9, 8, 2, 5, 9, 7, 9, 1, 9]",9,10000,0.0842
Hill Climbing,64,10,"[3, 9, 8, 2, 5, 9, 7, 9, 1, 9]",2,10000,0.8783
Simulated Annealing,64,10,"[3, 9, 8, 2, 5, 9, 7, 9, 1, 9]",9,45,0.0007
Genetic Algorithm,64,10,"[5, 7, 1, 1, 6, 9, 3, 0, 8, 4]",1,10000,143.4971
Random,65,10,"[3, 4, 1, 6, 7, 2, 1, 1, 0, 6]",5,10000,0.084
Hill Climbing,65,10,"[3, 4, 1, 6, 7, 2, 1, 1, 0, 6]",3,10000,0.8749
Simulated Annealing,65,10,"[3, 4, 1, 6, 7, 2, 1, 1, 0, 6]",8,45,0.0007
Genetic Algorithm,65,10,"[5, 9, 1, 4, 7, 3, 0, 2, 8, 6]",0,23,0.3273
Random,66,10,"[9, 4, 5, 8, 0, 7, 3, 0, 2, 1]",7,10000,0.0844
Hill Climbing,66,10,"[9, 4, 5, 8, 0, 7, 3, 0, 2, 1]",1,10000,0.8735
Simulated Annealing,66,10,"[9, 4, 5, 8, 0, 7, 3, 0, 2, 1]",9,45,0.0007
Genetic Algorithm,66,10,"[7, 1, 4, 0, 9, 6, 9, 5, 2, 8]",1,10000,143.4249
Random,67,10,"[9, 1, 7, 4, 0, 0, 2, 9, 7, 5]",14,10000,0.0845
Hill Climbing,67,10,"[9, 1, 7, 4, 0, 0, 2, 9, 7, 5]",2,10000,0.8832
Simulated Annealing,67,10,"[9, 1, 7, 4, 0, 0, 2, 9, 7, 5]",6,45,0.0007
Genetic Algorithm,67,10,"[8, 5, 9, 4, 0, 7, 9, 2, 6, 1]",1,10000,142.9476
Random,68,10,"[5, 2, 6, 0, 1, 8, 1, 5, 9, 0]",6,10000,0.0843
Hill Climbing,68,10,"[5, 2, 6, 0, 1, 8, 1, 5, 9, 0]",2,10000,0.8646
Simulated Annealing,68,10,"[5, 2, 6, 0, 1, 8, 1, 5, 9, 0]",9,45,0.0007
Genetic Algorithm,68,10,"[4, 7, 0, 2, 9, 6, 1, 3, 8, 6]",1,10000,142.8458
Random,69,10,"[3, 5, 6, 2, 3, 0, 1, 2, 3, 8]",10,10000,0.0846
Hill Climbing,69,10,"[3, 5, 6, 2, 3, 0, 1, 2, 3, 8]",2,10000,0.876
Simulated Annealing,69,10,"[3, 5, 6, 2, 3, 0, 1, 2, 3, 8]",4,45,0.0007
Genetic Algorithm,69,10,"[5, 9, 1, 4, 0, 8, 6, 2, 3, 7]",1,10000,144.3361
Random,70,10,"[7, 9, 5, 4, 2, 2, 0, 5, 8, 7]",12,10000,0.0842
Hill Climbing,70,10,"[7, 9, 5, 4, 2, 2, 0, 5, 8, 7]",2,10000,0.8547
Simulated Annealing,70,10,"[7, 9, 5, 4, 2, 2, 0, 5, 8, 7]",8,45,0.0007
Genetic Algorithm,70,10,"[1, 4, 7, 0, 8, 5, 2, 6, 3, 7]",1,10000,146.3653
Random,71,10,"[9, 0, 6, 7, 9, 0, 3, 7, 7, 4]",11,10000,0.089
Hill Climbing,71,10,"[9, 0, 6, 7, 9, 0, 3, 7, 7, 4]",3,10000,0.8713
Simulated Annealing,71,10,"[9, 0, 6, 7, 9, 0, 3, 7, 7, 4]",6,45,0.0007
